"Name,""State"",""Notes"",""User"",""Tags"",""Created"",""Runtime"",""Sweep"",""architecture"",""batch_size"",""budget"",""run"",""dataset"",""epochs"",""fanout"",""hidden"",""layer"",""mode"",""num_parts"",""num_threads"",""test-acc"",""sampler"",""accuracy"",""dataloading time"",""end-to-end time"",""inference time"",""loss"",""overall training time"",""process cpu times"",""sampling time"",""system cpu stats"",""system cpu times"",""time per epoch"",""used memory"",""used memory full"""
"gat-ogbn-products-ladies-cpu-32-20-2-16-10-1024-[350000]-1000,""finished"",""-"",""jana-vatter"","""",""2023-12-29T05:38:40.000Z"",""46994"","""",""gat"",""1024"",""1000"",""2"",""ogbn-products"",""20"",""[350000]"",""16"",""2"",""cpu"",""10"",""32"",""0.6449079513549805"",""ladies"",""0.8141037225723267"",""12.848774205893278"",""46989.17949938774"",""132.34235382266343"",""0.8570461835268248"",""46818.39646094851"",""[756170.18,90198.36,0,0.04,0]"",""25.00954913534224"",""[6701886323,27385699915,25064718519,0]"",""[71019310.69,1587.2,8077021.41,371401956.96,3600.7,0,11119.77,461914.68,0,0]"",""2340.91907152934"",""25133.36328125"",""[26354241536,33193304064,199766016,2838528,0,28858966016,0,26341134336,26348859392,0]"""
"gat-ogbn-products-ladies-cpu-32-20-2-16-10-1024-[300000]-1000,""finished"",""-"",""jana-vatter"","""",""2023-12-28T17:22:19.000Z"",""44172"","""",""gat"",""1024"",""1000"",""2"",""ogbn-products"",""20"",""[300000]"",""16"",""2"",""cpu"",""10"",""32"",""0.6445121169090271"",""ladies"",""0.8140019774436951"",""23.97983239404857"",""44166.16042053141"",""128.76802100986242"",""0.8084918133953075"",""43989.19203636795"",""[710049.99,86606.74,0,0.05,0]"",""23.67414857260883"",""[6665132803,27143599570,24824234866,0]"",""[70267566.46,1587.2,7987306.89,370744961.58,3586.34,0,11089.32,456589.32,0,0]"",""2199.4588131235914"",""25130.29296875"",""[26351022080,33200398336,200163328,2838528,0,28886986752,0,26336096256,26343896064,0]"""
"gat-ogbn-products-ladies-cpu-32-20-2-16-10-1024-[200000]-1000,""finished"",""-"",""jana-vatter"","""",""2023-12-28T06:33:39.000Z"",""38910"","""",""gat"",""1024"",""1000"",""2"",""ogbn-products"",""20"",""[200000]"",""16"",""2"",""cpu"",""10"",""32"",""0.6522347927093506"",""ladies"",""0.8221651315689087"",""12.427778247743843"",""38905.61210577004"",""126.4311264101416"",""0.8394345403335255"",""38743.89360064827"",""[614861.57,77167.15,0,0.04,0]"",""22.2948986236006"",""[6628752598,26913632846,24590541395,0]"",""[69561511.89,1581.44,7901144.04,370128540.37,3573.35,0,11058.25,451734.44,0,0]"",""1937.1939670127815"",""25361.6328125"",""[26593599488,33402064896,200040448,2838528,0,29105717248,0,26579587072,26587422720,0]"""
"gat-ogbn-products-ladies-cpu-32-20-2-16-10-1024-[115000]-1000,""finished"",""-"",""jana-vatter"","""",""2023-12-27T23:56:14.000Z"",""23836"","""",""gat"",""1024"",""1000"",""2"",""ogbn-products"",""20"",""[115000]"",""16"",""2"",""cpu"",""10"",""32"",""0.6548148989677429"",""ladies"",""0.8254202604293823"",""12.27154927700758"",""23831.056168921292"",""120.38191004283726"",""0.8042580072280656"",""23675.839336523783"",""[351871.49,48772.03,0,0.04,0]"",""21.981712942942977"",""[6592315162,26709978599,24384230736,0]"",""[68950253.16,1572.99,7824386.15,369575836.73,3562.32,0,11029.31,447268.13,0,0]"",""1183.7913368089123"",""21602.65625"",""[22652026880,33629724672,199753728,2838528,0,25193799680,0,22638559232,22646352896,0]"""
"gat-ogbn-products-ladies-cpu-32-20-2-16-10-1024-[50000]-1000,""finished"",""-"",""jana-vatter"","""",""2023-12-27T21:33:48.000Z"",""8537"","""",""gat"",""1024"",""1000"",""2"",""ogbn-products"",""20"",""[50000]"",""16"",""2"",""cpu"",""10"",""32"",""0.6394757628440857"",""ladies"",""0.8035755157470703"",""11.436493832617998"",""8533.230693727732"",""130.2775285821408"",""1.0316967542616198"",""8369.160483336076"",""[121936.95,12438.2,0.01,0.04,0]"",""21.807388581335545"",""[6561131357,26580018314,24261587318,0]"",""[68600253.07,1570.47,7775848.77,369213908.72,3554.63,0,10996.88,444805.71,0,0]"",""418.4575024407357"",""15783.9453125"",""[16550666240,35193155584,199217152,2838528,0,19081019392,0,16536891392,16544761856,0]"""
"gat-ogbn-products-fastgcn-cpu-32-20-2-16-10-1024-[350000]-1000,""finished"",""-"",""jana-vatter"","""",""2023-12-27T14:45:22.000Z"",""24496"","""",""gat"",""1024"",""1000"",""2"",""ogbn-products"",""20"",""[350000]"",""16"",""2"",""cpu"",""10"",""32"",""0.6266018748283386"",""fastgcn"",""0.7935559153556824"",""11.216580156236889"",""24488.871733525768"",""132.55359093286097"",""1.069652026181394"",""24324.82454900816"",""[213436.54,31337.28,0,0.05,0]"",""19.710954040288925"",""[6542243551,26522915101,24214179884,0]"",""[68478889.41,1570.33,7763451.61,369074950.64,3550.96,0,10972.9,444015.44,0,0]"",""1216.2405474328436"",""25957.44921875"",""[27218358272,34037579776,198709248,2838528,0,30513393664,0,27204661248,27212380160,0]"""
"gat-ogbn-products-fastgcn-cpu-32-20-2-16-10-1024-[300000]-1000,""finished"",""-"",""jana-vatter"","""",""2023-12-27T08:32:11.000Z"",""22382"","""",""gat"",""1024"",""1000"",""2"",""ogbn-products"",""20"",""[300000]"",""16"",""2"",""cpu"",""10"",""32"",""0.6232373714447021"",""fastgcn"",""0.7944459915161133"",""11.336607148870826"",""22377.41414210573"",""114.19947528094052"",""1.0799477696418762"",""22230.20346870646"",""[185695.39,24421.32,0,0.04,0]"",""21.10938349738717"",""[6516694140,26435860505,24136080351,0]"",""[68266453.64,1570.33,7732240.93,368536034.84,3540.46,0,10944.9,442528.81,0,0]"",""1111.5096215638332"",""26587.7109375"",""[27879235584,34776518656,198479872,2838528,0,30470819840,0,27862450176,27870016512,0]"""
"gat-ogbn-products-fastgcn-cpu-32-20-2-16-10-1024-[200000]-1000,""finished"",""-"",""jana-vatter"","""",""2023-12-27T03:21:02.000Z"",""18660"","""",""gat"",""1024"",""1000"",""2"",""ogbn-products"",""20"",""[200000]"",""16"",""2"",""cpu"",""10"",""32"",""0.6491495370864868"",""fastgcn"",""0.8096534013748169"",""11.760365068912506"",""18654.90498512052"",""136.2557097002864"",""1.070452260538704"",""18485.804502803832"",""[122158.51,17257.97,0,0.04,0]"",""20.51552035100758"",""[6492770523,26358810783,24067254905,0]"",""[68081636.26,1562.68,7707909.33,368030039.8,3530.51,0,10914.31,441313.02,0,0]"",""924.289696839638"",""19256.36328125"",""[20191760384,34113318912,199053312,2838528,0,22699905024,0,20177805312,20185646080,0]"""
"gat-ogbn-products-fastgcn-cpu-32-20-2-16-10-1024-[115000]-1000,""finished"",""-"",""jana-vatter"","""",""2023-12-26T23:30:51.000Z"",""13802"","""",""gat"",""1024"",""1000"",""2"",""ogbn-products"",""20"",""[115000]"",""16"",""2"",""cpu"",""10"",""32"",""0.6440557837486267"",""fastgcn"",""0.7894362211227417"",""12.015338990837336"",""13796.522142086178"",""133.54587035998702"",""1.1831482701350988"",""13629.093958459796"",""[72602.78,7565.2,0,0.03,0]"",""21.2969224229455"",""[6472154646,26299716014,24017190383,0]"",""[67959985.43,1560.27,7690704.32,367572400.35,3521.87,0,10890.4,440461.99,0,0]"",""681.4541566966102"",""15718.640625"",""[16482189312,34027614208,199901184,2838528,0,18994769920,0,16468586496,16476403712,0]"""
"gat-ogbn-products-fastgcn-cpu-32-20-2-16-10-1024-[50000]-1000,""finished"",""-"",""jana-vatter"","""",""2023-12-26T20:19:52.000Z"",""11450"","""",""gat"",""1024"",""1000"",""2"",""ogbn-products"",""20"",""[50000]"",""16"",""2"",""cpu"",""10"",""32"",""0.635089099407196"",""fastgcn"",""0.7448058128356934"",""11.821482179686427"",""11444.44565952383"",""124.61906326375902"",""1.5218449256580728"",""11284.347892185671"",""[42201.17,2187.91,0.01,0.04,0]"",""23.09777593612671"",""[6458200726,26260019452,23984217917,0]"",""[67887651.61,1560.27,7683149.37,367210883.15,3515.56,0,10867.67,439984.12,0,0]"",""564.2168018759228"",""14459.28515625"",""[15161659392,33113452544,198574080,2838528,0,17721790464,0,15143997440,15151771648,0]"""
"gat-ogbn-products-ladies-cpu-32-20-2-16-10-1024-[350000]-1000,""finished"",""-"",""jana-vatter"","""",""2023-12-26T07:20:28.000Z"",""46755"","""",""gat"",""1024"",""1000"",""1"",""ogbn-products"",""20"",""[350000]"",""16"",""2"",""cpu"",""10"",""32"",""0.6408277153968811"",""ladies"",""0.8074917793273926"",""11.302167363464832"",""46747.37786999717"",""128.69465214945376"",""0.862545687299936"",""46586.341554395854"",""[751841.03,92798.27,0,0.04,0]"",""20.48078694753349"",""[6448335500,26236284660,23965278554,0]"",""[67845563.39,1560.17,7680948.64,366888733.65,3510.53,0,10849.16,439717.97,0,0]"",""2329.316318566166"",""25174.234375"",""[26397097984,33199529984,200409088,2838528,0,28900962304,0,26383572992,26391397376,0]"""
